Area_Name,Count,Lat,Lon
Central,62852,34.0375,-118.3506
77th Street,57878,34.0444,-118.2628
Pacific,53984,34.021,-118.3002
Southwest,52140,34.1576,-118.4387
Hollywood,48813,34.0944,-118.3277
Olympic,46876,33.9467,-118.2463
Southeast,46720,33.9911,-118.2521
N Hollywood,46558,34.2336,-118.4535
Newton,45921,34.0868,-118.2991
Wilshire,44529,34.1939,-118.4859
Rampart,43424,34.0677,-118.552
West LA,42497,34.0433,-118.2892
Northeast,39682,34.082,-118.213
Van Nuys,39166,34.1938,-118.5906
West Valley,38944,34.1084,-118.2639
Harbor,38156,33.9785,-118.3068
Devonshire,37919,34.0022,-118.4255
Topanga,37877,34.174,-118.3638
Mission,36818,33.7234,-118.2968
Hollenbeck,34346,34.2713,-118.415
Foothill,30620,34.2648,-118.5055
